dataset_label,Name,Formula,adsorbate,surface_ref_name,surface_ref_formula,surface_ref_status,E,surface_ref_E,delta_E_to_surface_eV,delta_C,delta_H,delta_O,n_CO_adsorbates,E_ads_CO_eV,n_CH3O_adsorbates,E_ads_CH3OH_to_CH3O_eV,fmax,source_hdf,source_row
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CH3O-1,CH3Ni32O33,CH3O,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-244.19759986,-221.95566513,-22.241934729999997,1.0,3.0,1.0,,,1.0,,0.0082,/data/Chapter6/NiO-slabs.hdf,20
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CH3O-bridgeAF-AF_F,CH3Ni32O33,CH3O,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-243.86389913,-221.95566513,-21.908233999999993,1.0,3.0,1.0,,,1.0,,0.0079,/data/Chapter6/NiO-slabs.hdf,21
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CH3O-bridgeAF-F_F,CH3Ni32O33,CH3O,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-245.41255526,-221.95566513,-23.456890130000005,1.0,3.0,1.0,,,1.0,,0.0053,/data/Chapter6/NiO-slabs.hdf,22
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-bridge-AF_F,CNi32O33,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-234.83318412,-221.95566513,-12.877518989999999,1.0,0.0,1.0,1.0,,,,0.0045,/data/Chapter6/NiO-slabs.hdf,23
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-bridge-F_F,CNi32O33,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-234.83319835,-221.95566513,-12.877533220000004,1.0,0.0,1.0,1.0,,,,0.008,/data/Chapter6/NiO-slabs.hdf,24
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-1,CNi32O33,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-234.83380538,-221.95566513,-12.878140250000001,1.0,0.0,1.0,1.0,,,,0.0086,/data/Chapter6/NiO-slabs.hdf,25
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-8,0,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,0.0,-221.95566513,221.95566513,0.0,0.0,-32.0,0.0,,,,0.0,/data/Chapter6/NiO-slabs.hdf,26
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-4,C4Ni32O36,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-271.82342367,-221.95566513,-49.86775854000001,4.0,0.0,4.0,4.0,,,,0.006,/data/Chapter6/NiO-slabs.hdf,27
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-3,C3Ni32O35,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-258.51349471,-221.95566513,-36.557829579999975,3.0,0.0,3.0,3.0,,,,0.0067,/data/Chapter6/NiO-slabs.hdf,28
NiO-slabs,NiO-100-clean-2x2x4-AF-1-CO-2,C2Ni32O34,CO,NiO-100-clean-2x2x4-AF-1,Ni32O32,ok,-247.71908414,-221.95566513,-25.763419010000007,2.0,0.0,2.0,2.0,,,,0.0095,/data/Chapter6/NiO-slabs.hdf,29
NiO-slabs,NiO-100-clean-1x1x4-CO-1,CNi8O9,CO,NiO-100-clean-1x1x4,Ni8O8,ok,-67.19695599,-54.02095192,-13.176004070000005,1.0,0.0,1.0,1.0,,,,0.0049,/data/Chapter6/NiO-slabs.hdf,34
NiO-slabs,NiO-100-DFTU-Ga-2x2x4-CO-1,CGaNi31O33,CO,NiO-100-DFTU-Ga-2x2x4,GaNi31O32,ok,-184.48664791,-178.48823741,-5.998410499999977,1.0,0.0,1.0,1.0,,,,0.0058,/data/Chapter6/NiO-slabs.hdf,36
NiO-slabs,NiO-100-DFTU-Ga-2x2x4-CO-1-F,CGaNi31O33,CO,NiO-100-DFTU-Ga-2x2x4,GaNi31O32,ok,-188.78781689,-178.48823741,-10.299579479999977,1.0,0.0,1.0,1.0,,,,0.0077,/data/Chapter6/NiO-slabs.hdf,37
NiO-slabs,NiO-100-DFTU-clean-2x2x4-AF-1-CO-1,CNi32O33,CO,NiO-100-DFTU-clean-2x2x4-AF-1,Ni32O32,ok,-188.89747489,-176.64629591,-12.25117898000002,1.0,0.0,1.0,1.0,,,,0.0084,/data/Chapter6/NiO-slabs.hdf,40
NiO-slabs,NiO-100-DFTU-clean-2x2x4-AF-1-CO-4,C4Ni32O36,CO,NiO-100-DFTU-clean-2x2x4-AF-1,Ni32O32,ok,-226.06788875,-176.64629591,-49.42159284000002,4.0,0.0,4.0,4.0,,,,0.0057,/data/Chapter6/NiO-slabs.hdf,41
NiO-slabs,NiO-100-DFTU-clean-2x2x4-AF-1-CO-2,C2Ni32O34,CO,NiO-100-DFTU-clean-2x2x4-AF-1,Ni32O32,ok,-201.38379957,-176.64629591,-24.737503660000016,2.0,0.0,2.0,2.0,,,,0.0074,/data/Chapter6/NiO-slabs.hdf,42
NiO-slabs,NiO-100-DFTU-clean-2x2x4-AF-1-OH_CO-1,0,CO,,,missing,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,/data/Chapter6/NiO-slabs.hdf,43
NiO-slabs,NiO-100-DFTU-clean-2x2x4-AF-1-HCOO_CO-1,C4H2Ni32O38,HCOO,NiO-100-DFTU-clean-2x2x4-AF-1,Ni32O32,ok,-244.53230489,-176.64629591,-67.88600898000001,4.0,2.0,6.0,,,,,0.0084,/data/Chapter6/NiO-slabs.hdf,44
NiO-slabs,NiO-100-DFTU-clean-1x1x4-CO-1,CNi10O11,CO,NiO-100-DFTU-clean-1x1x4,Ni10O10,ok,-65.73811049,-54.03670118,-11.701409309999995,1.0,0.0,1.0,1.0,,,,0.0066,/data/Chapter6/NiO-slabs.hdf,46
NiO-slabs,NiO-100-DFTU-clean-1x1x4-OH_CO-1,CHNi10O12,CO,,,missing,-90.02822111,,,1.0,1.0,12.0,1.0,,,,0.0072,/data/Chapter6/NiO-slabs.hdf,47
NiO-slabs,NiO-100-DFTU-clean-1x1x4-CH3O_CO-1,0,CH3O,NiO-100-DFTU-clean-1x1x4,Ni10O10,ok,0.0,-54.03670118,54.03670118,0.0,0.0,-10.0,,,0.0,,0.0,/data/Chapter6/NiO-slabs.hdf,48
