dataset_label,Name,Formula,adsorbate,surface_ref_name,surface_ref_formula,surface_ref_status,E,surface_ref_E,delta_E_to_surface_eV,delta_C,delta_H,delta_O,n_CO_adsorbates,E_ads_CO_eV,n_CH3O_adsorbates,E_ads_CH3OH_to_CH3O_eV,fmax,source_hdf,source_row
Ni-slabs,Ni-100-Ga-4x2x4-4-CO-1,CGa4Ni28O,CO,Ni-100-Ga-4x2x4-4,Ga4Ni28,ok,-83.02786819,-69.60074117,-13.42712702,1.0,0.0,1.0,1.0,,,,0.0089,/data/Chapter6/Ni-slabs.hdf,1736
Ni-slabs,Ni-100-Ga-4x2x4-4-HCOOH-AB-b,CH2Ga4Ni28O2,HCOOH,Ni-100-Ga-4x2x4-4,Ga4Ni28,ok,-95.20346584,-69.60074117,-25.60272467,1.0,2.0,2.0,,,,,0.0078,/data/Chapter6/Ni-slabs.hdf,1737
Ni-slabs,Ni-100-Ga-4x2x4-4-HCOO-AB,CHGa4Ni28O2,HCOO,Ni-100-Ga-4x2x4-4,Ga4Ni28,ok,-92.21147567,-69.60074117,-22.610734499999992,1.0,1.0,2.0,,,,,0.0087,/data/Chapter6/Ni-slabs.hdf,1738
Ni-slabs,Ni-100-Ga-4x4x4-8-COOH-AB,CHGa8Ni56O2,COOH,Ni-100-Ga-4x4x4-8,Ga8Ni56,ok,-161.14085574,-139.20388128,-21.936974460000016,1.0,1.0,2.0,,,,,0.0077,/data/Chapter6/Ni-slabs.hdf,1742
Ni-slabs,Ni-100-Ga-4x4x4-8-CO-a,CGa8Ni56O,CO,Ni-100-Ga-4x4x4-8,Ga8Ni56,ok,-152.62770366,-139.20388128,-13.423822380000018,1.0,0.0,1.0,1.0,,,,0.0058,/data/Chapter6/Ni-slabs.hdf,1743
Ni-slabs,Ni-100-Ga-4x4x4-8-CO-c,CGa8Ni56O,CO,Ni-100-Ga-4x4x4-8,Ga8Ni56,ok,-151.35011318,-139.20388128,-12.146231900000004,1.0,0.0,1.0,1.0,,,,0.0076,/data/Chapter6/Ni-slabs.hdf,1744
Ni-slabs,Ni-100-Ga-4x4x4-8-CO-b,CGa8Ni56O,CO,Ni-100-Ga-4x4x4-8,Ga8Ni56,ok,-152.62768219,-139.20388128,-13.423800910000011,1.0,0.0,1.0,1.0,,,,0.006,/data/Chapter6/Ni-slabs.hdf,1745
Ni-slabs,Ni-100-Ga-4x4x4-8-HCOO-AB,CHGa8Ni56O2,HCOO,Ni-100-Ga-4x4x4-8,Ga8Ni56,ok,-161.82651578,-139.20388128,-22.622634500000004,1.0,1.0,2.0,,,,,0.0052,/data/Chapter6/Ni-slabs.hdf,1750
Ni-slabs,Ni-100-Ga-3x3x4-1-CO-AB,CGaNi35O,CO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-89.88963266,-76.18816176,-13.701470900000004,1.0,0.0,1.0,1.0,,,,0.0083,/data/Chapter6/Ni-slabs.hdf,1767
Ni-slabs,Ni-100-Ga-3x3x4-1-CO-A-1,CGaNi35O,CO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-89.88976534,-76.18816176,-13.701603579999997,1.0,0.0,1.0,1.0,,,,0.0069,/data/Chapter6/Ni-slabs.hdf,1768
Ni-slabs,Ni-100-Ga-3x3x4-1-CO-A-2,CGaNi35O,CO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-88.34414963,-76.18816176,-12.155987870000004,1.0,0.0,1.0,1.0,,,,0.0082,/data/Chapter6/Ni-slabs.hdf,1769
Ni-slabs,Ni-100-Ga-3x3x4-1-CO-AA,CGaNi35O,CO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-89.84058547,-76.18816176,-13.652423709999994,1.0,0.0,1.0,1.0,,,,0.0071,/data/Chapter6/Ni-slabs.hdf,1770
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOOH-AB-1,CH2GaNi35O2,HCOOH,Ni-100-Ga-3x3x4-1,GaNi35,ok,-101.77722721,-76.18816176,-25.589065450000007,1.0,2.0,2.0,,,,,0.0093,/data/Chapter6/Ni-slabs.hdf,1771
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOOH-AB-2,CH2GaNi35O2,HCOOH,Ni-100-Ga-3x3x4-1,GaNi35,ok,-101.74670337,-76.18816176,-25.558541610000006,1.0,2.0,2.0,,,,,0.0065,/data/Chapter6/Ni-slabs.hdf,1772
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOOH-AA-1,CH2GaNi35O2,HCOOH,Ni-100-Ga-3x3x4-1,GaNi35,ok,-101.82332678,-76.18816176,-25.635165020000002,1.0,2.0,2.0,,,,,0.0097,/data/Chapter6/Ni-slabs.hdf,1773
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOOH-AA-2,CH2GaNi35O2,HCOOH,Ni-100-Ga-3x3x4-1,GaNi35,ok,-101.83667042,-76.18816176,-25.648508660000005,1.0,2.0,2.0,,,,,0.0077,/data/Chapter6/Ni-slabs.hdf,1774
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOO-AB-1,CHGaNi35O2,HCOO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-98.81948987,-76.18816176,-22.63132811,1.0,1.0,2.0,,,,,0.0081,/data/Chapter6/Ni-slabs.hdf,1779
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOO-AB-2,CHGaNi35O2,HCOO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-98.59113173,-76.18816176,-22.40296997,1.0,1.0,2.0,,,,,0.0028,/data/Chapter6/Ni-slabs.hdf,1780
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOO-AA-1,CHGaNi35O2,HCOO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-99.00064164,-76.18816176,-22.812479879999998,1.0,1.0,2.0,,,,,0.0047,/data/Chapter6/Ni-slabs.hdf,1781
Ni-slabs,Ni-100-Ga-3x3x4-1-HCOO-AA-2,CHGaNi35O2,HCOO,Ni-100-Ga-3x3x4-1,GaNi35,ok,-98.98934883,-76.18816176,-22.801187069999997,1.0,1.0,2.0,,,,,0.0094,/data/Chapter6/Ni-slabs.hdf,1782
Ni-slabs,Ni-211_hk-clean-3x3x4-COOH-AA,CHNi36O2,COOH,Ni-211_hk-clean-3x3x4,Ni36,ok,-100.82420157,-78.40456302,-22.419638550000002,1.0,1.0,2.0,,,,,0.0077,/data/Chapter6/Ni-slabs.hdf,1798
