dataset_label,Name,Formula,E,surface_key,surface_ref_status,source_hdf,source_row
Ni-slabs,Ni-110-Ga-3x3x6-6-a,Ga6Ni48,-116.2662833,Ni-110-Ga-3x3x6-6-a,self,/data/Chapter6/Ni-slabs.hdf,1490
Ni-slabs,Ni-110-Ga-3x3x6-1,GaNi53,-114.72277835,Ni-110-Ga-3x3x6-1,self,/data/Chapter6/Ni-slabs.hdf,1491
Ni-slabs,Ni-110-Ga-3x3x6-4,Ga4Ni50,-116.09403827,Ni-110-Ga-3x3x6-4,self,/data/Chapter6/Ni-slabs.hdf,1492
Ni-slabs,Ni-110-Ga-3x3x6-3-a,Ga3Ni51,-115.82476842,Ni-110-Ga-3x3x6-3-a,self,/data/Chapter6/Ni-slabs.hdf,1493
Ni-slabs,Ni-110-Ga-3x3x6-3-b,Ga3Ni51,-115.76530948,Ni-110-Ga-3x3x6-3-b,self,/data/Chapter6/Ni-slabs.hdf,1494
Ni-slabs,Ni-110-Ga-3x3x6-2,Ga2Ni52,-115.27367187,Ni-110-Ga-3x3x6-2,self,/data/Chapter6/Ni-slabs.hdf,1495
Ni-slabs,Ni-110-Ga-3x3x6-5,Ga5Ni49,-116.36746371,Ni-110-Ga-3x3x6-5,self,/data/Chapter6/Ni-slabs.hdf,1496
Ni-slabs,Ni-110-Ga-2x2x9-6,Ga6Ni30,-80.47297282,Ni-110-Ga-2x2x9-6,self,/data/Chapter6/Ni-slabs.hdf,1497
Ni-slabs,Ni-110-Ga-2x2x9-1,GaNi35,-81.63790951,Ni-110-Ga-2x2x9-1,self,/data/Chapter6/Ni-slabs.hdf,1498
Ni-slabs,Ni-110-Ga-2x2x9-10,Ga10Ni26,-78.00597704,Ni-110-Ga-2x2x9-10,self,/data/Chapter6/Ni-slabs.hdf,1499
Ni-slabs,Ni-110-Ga-2x2x9-8,Ga8Ni28,-79.33912557,Ni-110-Ga-2x2x9-8,self,/data/Chapter6/Ni-slabs.hdf,1500
Ni-slabs,Ni-110-Ga-2x2x9-4,Ga4Ni32,-82.2915729,Ni-110-Ga-2x2x9-4,self,/data/Chapter6/Ni-slabs.hdf,1501
Ni-slabs,Ni-110-Ga-2x2x9-2,Ga2Ni34,-82.25883841,Ni-110-Ga-2x2x9-2,self,/data/Chapter6/Ni-slabs.hdf,1502
Ni-slabs,Ni-110-Ga-2x2x7-1,GaNi27,-61.41646343,Ni-110-Ga-2x2x7-1,self,/data/Chapter6/Ni-slabs.hdf,1503
Ni-slabs,Ni-110-Ga-2x4x4-4,Ga4Ni28,-63.15917855,Ni-110-Ga-2x4x4-4,self,/data/Chapter6/Ni-slabs.hdf,1504
Ni-slabs,Ni-110-Ga-2x2x6-1,GaNi23,-51.2899447,Ni-110-Ga-2x2x6-1,self,/data/Chapter6/Ni-slabs.hdf,1506
Ni-slabs,Ni-110-Ga-2x2x6-8-bulk-a,Ga8Ni24,-73.17486444,Ni-110-Ga-2x2x6-8-bulk-a,self,/data/Chapter6/Ni-slabs.hdf,1507
Ni-slabs,Ni-110-Ga-2x2x6-8-bulk-b,Ga8Ni24,-73.30733473,Ni-110-Ga-2x2x6-8-bulk-b,self,/data/Chapter6/Ni-slabs.hdf,1508
Ni-slabs,Ni-110-Ga-2x2x6-4,Ga4Ni20,-51.42321654,Ni-110-Ga-2x2x6-4,self,/data/Chapter6/Ni-slabs.hdf,1509
